Trial,Reward,Algorithm
1,-0.16545903725759636,Thompson Sampling
2,0.9019256876693977,Thompson Sampling
3,-1.012525932853639,Thompson Sampling
4,-1.3179950024069909,Thompson Sampling
5,0.7606548059432987,Thompson Sampling
6,1.1605565359920924,Thompson Sampling
7,1.0064897880702728,Thompson Sampling
8,1.688532340429202,Thompson Sampling
9,1.1181118351240238,Thompson Sampling
10,-1.338961138953082,Thompson Sampling
11,2.8316728713749635,Thompson Sampling
12,2.3945748916490386,Thompson Sampling
13,-1.2273793473993542,Thompson Sampling
14,1.3092840318462706,Thompson Sampling
15,-0.17094632430468126,Thompson Sampling
16,0.14058549882271165,Thompson Sampling
17,1.1244666862402404,Thompson Sampling
18,-0.088700099428073,Thompson Sampling
19,1.159759415434381,Thompson Sampling
20,1.6371795521207453,Thompson Sampling
21,0.8070065283270544,Thompson Sampling
22,1.417746450840129,Thompson Sampling
23,1.2907922082955874,Thompson Sampling
24,-0.17297223042150855,Thompson Sampling
25,1.6498841675928988,Thompson Sampling
26,-1.1726750356704438,Thompson Sampling
27,0.33231076537675364,Thompson Sampling
28,1.6083254259861106,Thompson Sampling
29,0.6796781623816672,Thompson Sampling
30,0.6371005757472232,Thompson Sampling
31,-0.2548261266238928,Thompson Sampling
32,-0.09581302489390287,Thompson Sampling
33,0.7040297556941029,Thompson Sampling
34,1.0679987216968394,Thompson Sampling
35,-0.33589736251197344,Thompson Sampling
36,0.11973290690648741,Thompson Sampling
37,2.598949373978075,Thompson Sampling
38,1.602916883920738,Thompson Sampling
39,0.6130798546135268,Thompson Sampling
40,0.791662654794602,Thompson Sampling
41,1.8148163840242888,Thompson Sampling
42,2.2005552740011263,Thompson Sampling
43,-0.008158088889074766,Thompson Sampling
44,0.051538502581999546,Thompson Sampling
45,1.4240344054148368,Thompson Sampling
46,2.3878465292195528,Thompson Sampling
47,0.9527440380253704,Thompson Sampling
48,1.0652437890670767,Thompson Sampling
49,0.8194427698841592,Thompson Sampling
50,1.815240782621614,Thompson Sampling
51,0.7169603213225821,Thompson Sampling
52,0.22299595402816763,Thompson Sampling
53,0.043940972745832085,Thompson Sampling
54,3.08144066177076,Thompson Sampling
55,0.970137288705069,Thompson Sampling
56,0.9441976756947009,Thompson Sampling
57,1.4382910884818012,Thompson Sampling
58,0.12430615752420571,Thompson Sampling
59,0.7586193175898868,Thompson Sampling
60,0.13627420096452858,Thompson Sampling
61,1.9408498830298608,Thompson Sampling
62,0.5204048787433391,Thompson Sampling
63,2.3183269204963417,Thompson Sampling
64,0.8173298699519143,Thompson Sampling
65,-0.7653896318998507,Thompson Sampling
66,1.2411792636642607,Thompson Sampling
67,2.0244550271743265,Thompson Sampling
68,1.0411196400861917,Thompson Sampling
69,0.8073830393881545,Thompson Sampling
70,-0.9106521001182867,Thompson Sampling
71,2.911443620277483,Thompson Sampling
72,2.203943709566122,Thompson Sampling
73,1.3762043539227595,Thompson Sampling
74,1.8152881676250936,Thompson Sampling
75,0.2825120657439384,Thompson Sampling
76,1.5051395257842435,Thompson Sampling
77,-2.2337019877855075,Thompson Sampling
78,1.3053103605163363,Thompson Sampling
79,1.3675482382757922,Thompson Sampling
80,-0.29728260989056465,Thompson Sampling
81,0.6804337053924298,Thompson Sampling
82,0.5713391399447165,Thompson Sampling
83,2.6736277177107537,Thompson Sampling
84,2.3430970900747132,Thompson Sampling
85,0.1375386819656228,Thompson Sampling
86,1.7718821294867597,Thompson Sampling
87,-0.8293776050516456,Thompson Sampling
88,0.7466453601230845,Thompson Sampling
89,1.1051744591304253,Thompson Sampling
90,1.2776066778465816,Thompson Sampling
91,-0.45001093880955045,Thompson Sampling
92,0.004039634716036078,Thompson Sampling
93,2.1449665352993006,Thompson Sampling
94,0.6542382349661466,Thompson Sampling
95,1.0855733895997863,Thompson Sampling
96,1.5470843047150442,Thompson Sampling
97,1.0567224730683513,Thompson Sampling
98,1.203897000589931,Thompson Sampling
99,-0.7924721290078779,Thompson Sampling
100,0.5857064251924827,Thompson Sampling
101,2.683267155263544,Thompson Sampling
102,2.2312067933252515,Thompson Sampling
103,-0.42791441735363434,Thompson Sampling
104,1.0464581403285436,Thompson Sampling
105,2.5573619433863337,Thompson Sampling
106,-0.33474046770291077,Thompson Sampling
107,-1.0888741929284884,Thompson Sampling
108,1.0067111415160317,Thompson Sampling
109,-0.2913989784178578,Thompson Sampling
110,0.19172965722140978,Thompson Sampling
111,0.9103301593847136,Thompson Sampling
112,0.8490338251491687,Thompson Sampling
113,-0.24327423020154948,Thompson Sampling
114,1.2829337682360498,Thompson Sampling
115,0.9873757305198451,Thompson Sampling
116,2.6376312254770813,Thompson Sampling
117,-1.315737192323917,Thompson Sampling
118,0.8402071174114376,Thompson Sampling
119,1.405488248782583,Thompson Sampling
120,1.271403358978125,Thompson Sampling
121,1.2856820140408793,Thompson Sampling
122,-0.27943204141285916,Thompson Sampling
123,0.2906292836897628,Thompson Sampling
124,0.48572861946642865,Thompson Sampling
125,1.0722748321513589,Thompson Sampling
126,1.3953076673556457,Thompson Sampling
127,3.0626083854144213,Thompson Sampling
128,0.2485433055105788,Thompson Sampling
129,2.509487140320909,Thompson Sampling
130,1.3044954047545563,Thompson Sampling
131,1.7357929191414927,Thompson Sampling
132,0.4951957582973304,Thompson Sampling
133,1.6460774836213532,Thompson Sampling
134,0.4716674106536828,Thompson Sampling
135,0.5585795458634001,Thompson Sampling
136,-0.3223097170799659,Thompson Sampling
137,2.027881082200209,Thompson Sampling
138,0.19109439876092438,Thompson Sampling
